date_agenda,id_question,id_event,id_mp,id_fraction,result,result_comment
2020-03-17,202003171,4693,133,1,5,
2020-03-17,202003171,4693,134,1,5,
2020-03-17,202003171,4693,135,1,0,
2020-03-17,202003171,4693,136,0,0,
2020-03-17,202003171,4693,137,0,0,
2020-03-17,202003171,4693,138,1,5,
2020-03-17,202003171,4693,139,1,5,
2020-03-17,202003171,4693,140,1,0,
2020-03-17,202003171,4693,141,1,5,
2020-03-17,202003171,4693,142,6,5,
2020-03-17,202003171,4693,143,7,0,
2020-03-17,202003171,4693,144,1,5,
2020-03-17,202003171,4693,145,1,5,
2020-03-17,202003171,4693,146,1,5,
2020-03-17,202003171,4693,147,1,5,
2020-03-17,202003171,4693,148,1,5,
2020-03-17,202003171,4693,149,1,5,
2020-03-17,202003171,4693,150,1,5,
2020-03-17,202003171,4693,151,2,5,
2020-03-17,202003171,4693,152,1,5,
2020-03-17,202003171,4693,153,0,5,
2020-03-17,202003171,4693,154,1,5,
2020-03-17,202003171,4693,155,1,5,
2020-03-17,202003171,4693,157,1,5,
2020-03-17,202003171,4693,158,1,5,
2020-03-17,202003171,4693,159,1,5,
2020-03-17,202003171,4693,160,1,5,
2020-03-17,202003171,4693,161,6,5,
2020-03-17,202003171,4693,162,1,5,
2020-03-17,202003171,4693,163,1,5,
2020-03-17,202003171,4693,164,1,0,
2020-03-17,202003171,4693,165,0,0,
2020-03-17,202003171,4693,166,1,0,
2020-03-17,202003171,4693,167,1,5,
2020-03-17,202003171,4693,168,6,5,
2020-03-17,202003171,4693,169,6,0,
2020-03-17,202003171,4693,170,1,5,
2020-03-17,202003171,4693,171,1,0,
2020-03-17,202003171,4693,172,1,5,
2020-03-17,202003171,4693,173,1,5,
2020-03-17,202003171,4693,174,1,5,
2020-03-17,202003171,4693,176,1,0,
2020-03-17,202003171,4693,177,6,0,
2020-03-17,202003171,4693,178,1,5,
2020-03-17,202003171,4693,179,1,5,
2020-03-17,202003171,4693,180,1,5,
2020-03-17,202003171,4693,181,1,5,
2020-03-17,202003171,4693,182,1,5,
2020-03-17,202003171,4693,183,0,5,
2020-03-17,202003171,4693,184,1,5,
